,Final Rule Text,Source Window IDs
20,The minimum distance between one dimple and another dimple is four times the material thickness plus the inside radius of each dimple.,72fd2ef5_p2_b2_w0
21,The maximum depth of a flat embossment is equal to the internal radius plus the external radius.,72fd2ef5_p2_b4_w0
22,The maximum depth of a V embossment is equal to three times the material thickness.,72fd2ef5_p2_b4_w0
23,The minimum distance between two extruded holes is six times the material thickness.,72fd2ef5_p2_b6_w0
24,The minimum distance from an extruded hole to an edge is three times the material thickness.,72fd2ef5_p2_b6_w0
25,The minimum distance from an extruded hole to a bend is three times the material thickness plus the bend radius.,72fd2ef5_p2_b6_w0
26,"The minimum height of a bent flange is directly related to the material thickness, bend radius, and length of bend.",72fd2ef5_p2_b8_w0
27,"The minimum width of a bend relief is one material thickness or 1.50 mm (0.06 inch), whichever is greater.",72fd2ef5_p2_b8_w0
28,The minimum distance the edge of a hole should be from a bend is two times the material thickness plus the bend radius.,72fd2ef5_p3_b2_w0
29,"The minimum distance between the leading edge of a hole through a bend should be equal to the thickness of material plus the bend radius or two times the material thickness, whichever is greater.",72fd2ef5_p3_b2_w0
30,"The minimum width of an open lance is two times the material thickness or 3.00 mm (0.125 inch), whichever is greater.","72fd2ef5_p3_b4_w0, 72fd2ef5_p3_b4_w1, 72fd2ef5_p3_b4_w2"
31,The maximum length of an open lance is five times the width.,"72fd2ef5_p3_b4_w0, 72fd2ef5_p3_b4_w1, 72fd2ef5_p3_b4_w2"
32,"The minimum width of a closed lance is two times the material thickness or 1.60 mm (0.06 inch), whichever is greater.","72fd2ef5_p3_b4_w0, 72fd2ef5_p3_b4_w1, 72fd2ef5_p3_b4_w2"
33,The maximum height of a closed lance is five times the material thickness at a 45-degree angle.,"72fd2ef5_p3_b4_w0, 72fd2ef5_p3_b4_w1, 72fd2ef5_p3_b4_w2"
34,The minimum distance from a lance to a bend in a parallel plane is eight times the material thickness plus the radius of the bend.,"72fd2ef5_p3_b4_w0, 72fd2ef5_p3_b4_w1, 72fd2ef5_p3_b4_w2"
35,The minimum distance from a lance to a bend in a perpendicular plane is ten times the material thickness plus the radius of the bend.,"72fd2ef5_p3_b4_w0, 72fd2ef5_p3_b4_w1, 72fd2ef5_p3_b4_w2"
36,The minimum distance from a lance to a hole is three times the material thickness.,"72fd2ef5_p3_b4_w0, 72fd2ef5_p3_b4_w1, 72fd2ef5_p3_b4_w2"
37,Outside sharp corners receive twice as much plating as flat surfaces.,"72fd2ef5_p4_b10_w0, 72fd2ef5_p4_b10_w1, 72fd2ef5_p4_b10_w2, 72fd2ef5_p4_b10_w3, 72fd2ef5_p4_b10_w4, 72fd2ef5_p4_b10_w6, 72fd2ef5_p4_b10_w7, 72fd2ef5_p4_b10_w8"
38,"Allow for pitch diameters for screw threads, which can increase four times the plating thickness.","72fd2ef5_p4_b10_w0, 72fd2ef5_p4_b10_w1, 72fd2ef5_p4_b10_w2, 72fd2ef5_p4_b10_w3, 72fd2ef5_p4_b10_w4, 72fd2ef5_p4_b10_w6, 72fd2ef5_p4_b10_w7, 72fd2ef5_p4_b10_w8"
39,Raise welds on embossed areas by 0.015 in. (0.3 mm) to allow for flushing and blow drying between the surfaces.,"72fd2ef5_p4_b10_w0, 72fd2ef5_p4_b10_w1, 72fd2ef5_p4_b10_w2, 72fd2ef5_p4_b10_w3, 72fd2ef5_p4_b10_w4, 72fd2ef5_p4_b10_w6, 72fd2ef5_p4_b10_w7, 72fd2ef5_p4_b10_w8"
40,The minimum distance from a semi-pierced hole and a form is three times the material thickness plus the form radius.,72fd2ef5_p4_b2_w0
41,The minimum distance from a semi-pierced hole and a bend is two times the material thickness plus the bend radius.,72fd2ef5_p4_b2_w0
42,The minimum distance between semi-pierced holes is eight times the material thickness.,72fd2ef5_p4_b2_w0
43,"The minimum width of a slot is equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater.",72fd2ef5_p4_b4_w0
44,"The minimum distance from the inside surface of a bend to the edge of a slot is directly proportional to the length of the slot, material thickness, and radius of the bend.",72fd2ef5_p4_b4_w0
45,When using slots and tabs the maximum width of the slot must be greater than the thickness of the tab.,72fd2ef5_p4_b4_w0
46,the tab length should equal the material thickness.,72fd2ef5_p4_b4_w0
47,"The minimum width of a tab is equal to two times the material thickness or 3.200 mm, whichever is greater",72fd2ef5_p4_b6_w0
48,The maximum length of a tab is five times the width,72fd2ef5_p4_b6_w0
49,"The minimum distance between tabs is equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater",72fd2ef5_p4_b6_w0
50,Spot welding should be restricted to joining coplanar surfaces.,"72fd2ef5_p4_b8_w0, 72fd2ef5_p4_b8_w1, 72fd2ef5_p4_b8_w2, 72fd2ef5_p4_b8_w3"
51,The minimum distance between welds is 10 times the material thickness.,"72fd2ef5_p4_b8_w0, 72fd2ef5_p4_b8_w1, 72fd2ef5_p4_b8_w2, 72fd2ef5_p4_b8_w3"
52,The minimum distance between a weld and the edge is two times the diameter of the spot weld.,"72fd2ef5_p4_b8_w0, 72fd2ef5_p4_b8_w1, 72fd2ef5_p4_b8_w2, 72fd2ef5_p4_b8_w3"
53,The minimum distance from a weld to a form is the spot diameter plus the bend radius.,"72fd2ef5_p4_b8_w0, 72fd2ef5_p4_b8_w1, 72fd2ef5_p4_b8_w2, 72fd2ef5_p4_b8_w3"
54,Use PEMs instead of threaded inserts.,"72fd2ef5_p4_b8_w0, 72fd2ef5_p4_b8_w1, 72fd2ef5_p4_b8_w2, 72fd2ef5_p4_b8_w3"
