,Window ID,Page,Score,Text Content
28,624ced3a_p2_b12_w5,2,0.581,The minimum distance from a hole to a hem is two times the material thickness plus the radius of the hem. The minimum distance a hem should be from an internal bend is five times the material thickness. The minimum distance a hem should be from an external bend is eight times the material thickness.
29,624ced3a_p2_b13_w0,2,0.640,Holes
30,624ced3a_p2_b14_w0,2,0.713,"The minimum diameter of a hole should be equal to the materials thickness or 1.00 mm (0.04 inch), whichever is greater. The minimum distance between holes is directly proportional to the size and shape for the hole feature and the material thickness The minimum distance the edge of a hole should be from a form is three times the material thickness plus the bend radius."
31,624ced3a_p3_b0_w0,3,0.386,"3/22/22, 4:08 PM Design For Manufacturability Guidelines - Sheetmetal"
32,624ced3a_p3_b1_w0,3,0.342,www.npd-solutions.com/sheetmetal.html 3/5
33,624ced3a_p3_b2_w0,3,0.616,"The minimum distance the edge of a hole should be from a bend is two times the material thickness plus the bend radius. The minimum distance between a hole and the edge of the material is directly proportional to the size and shape of the hole and the material thickness. The minimum distance between the leading edge of a hole through a bend should be equal to the thickness of material plus the bend radius or two times the material thickness, whichever is greater."
34,624ced3a_p3_b4_w0,3,0.557,"The minimum width of an  open  lance is two times the material thickness or 3.00 mm (0.125 inch), whichever is greater, with a maximum length of five times the width. The minimum width of a  closed  lance is two times the material thickness or 1.60 mm (0.06 inch), whichever is greater, and a maximum height of five times the material thickness at a 45-degree angle. The minimum distance from a lance to a bend in a parallel plane is eight times the material thickness plus the radius of the bend."
35,624ced3a_p3_b4_w1,3,0.555,"The minimum width of a  closed  lance is two times the material thickness or 1.60 mm (0.06 inch), whichever is greater, and a maximum height of five times the material thickness at a 45-degree angle. The minimum distance from a lance to a bend in a parallel plane is eight times the material thickness plus the radius of the bend. The minimum distance from a lance to a bend in a perpendicular plane is ten times the material thickness plus the radius of the bend."
36,624ced3a_p3_b4_w2,3,0.545,The minimum distance from a lance to a bend in a parallel plane is eight times the material thickness plus the radius of the bend. The minimum distance from a lance to a bend in a perpendicular plane is ten times the material thickness plus the radius of the bend. The minimum distance from a lance to a hole is three times the material thickness.
37,624ced3a_p3_b5_w0,3,0.263,Notches
38,624ced3a_p3_b6_w0,3,0.457,"The minimum width is equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater. The maximum length for a straight/radius end notch is equal to five times the width. The maximum length for a V notch is equal to two times the width."
39,624ced3a_p3_b6_w1,3,0.451,The maximum length for a straight/radius end notch is equal to five times the width. The maximum length for a V notch is equal to two times the width. The minimum distance between a hole and the edge of a notch is directly proportional to the size/shape of the hole and the material thickness.
40,624ced3a_p3_b6_w2,3,0.472,The maximum length for a V notch is equal to two times the width. The minimum distance between a hole and the edge of a notch is directly proportional to the size/shape of the hole and the material thickness. The minimum distance from a notch to a bend in a parallel plane is eight times the material thickness plus the radius of the bend.
41,624ced3a_p3_b6_w3,3,0.551,The minimum distance between a hole and the edge of a notch is directly proportional to the size/shape of the hole and the material thickness. The minimum distance from a notch to a bend in a parallel plane is eight times the material thickness plus the radius of the bend. The minimum distance from a notch to a bend in a perpendicular plane is three times the material thickness plus the radius of the bend.
42,624ced3a_p3_b6_w4,3,0.504,"The minimum distance from a notch to a bend in a parallel plane is eight times the material thickness plus the radius of the bend. The minimum distance from a notch to a bend in a perpendicular plane is three times the material thickness plus the radius of the bend. The minimum distance beyond the bend on the side edge is equal to the thickness of the material plus the bend radius, or two times the material thickness, whichever is greater."
43,624ced3a_p3_b6_w5,3,0.524,"The minimum distance from a notch to a bend in a perpendicular plane is three times the material thickness plus the radius of the bend. The minimum distance beyond the bend on the side edge is equal to the thickness of the material plus the bend radius, or two times the material thickness, whichever is greater. The minimum distance between two notches is two times the material thickness or 3.200 mm (0.125 inch), whichever is greater."
44,624ced3a_p3_b8_w0,3,0.622,"The maximum inside radius is equal to three times the material thickness, with a maximum depth of the inside radius. The minimum distance from a center line of a rib to the edge of a hole is three times the material thickness plus the radius of the rib. The minimum distance a rib should be from an edge in a perpendicular plane is four times the material thickness plus the radius of the rib."
45,624ced3a_p3_b8_w1,3,0.601,The minimum distance from a center line of a rib to the edge of a hole is three times the material thickness plus the radius of the rib. The minimum distance a rib should be from an edge in a perpendicular plane is four times the material thickness plus the radius of the rib. The minimum distance a rib should be from an edge in a parallel plane is eight times the material thickness plus the radius of the rib.
46,624ced3a_p3_b8_w2,3,0.447,"The minimum distance a rib should be from an edge in a perpendicular plane is four times the material thickness plus the radius of the rib. The minimum distance a rib should be from an edge in a parallel plane is eight times the material thickness plus the radius of the rib. The minimum distance a rib should be from a bend perpendicular to the rib is two times the material thickness, plus the radius of the rib, plus the radius of the bend."
47,624ced3a_p3_b8_w3,3,0.444,"The minimum distance a rib should be from an edge in a parallel plane is eight times the material thickness plus the radius of the rib. The minimum distance a rib should be from a bend perpendicular to the rib is two times the material thickness, plus the radius of the rib, plus the radius of the bend. The minimum distance between two parallel ribs is ten times the material thickness plus the radii of the ribs."
48,624ced3a_p3_b9_w0,3,0.477,Semi-Pierced Hole
49,624ced3a_p4_b0_w0,4,0.386,"3/22/22, 4:08 PM Design For Manufacturability Guidelines - Sheetmetal"
50,624ced3a_p4_b1_w0,4,0.350,www.npd-solutions.com/sheetmetal.html 4/5
51,624ced3a_p4_b2_w0,4,0.568,The minimum distance from a semi-pierced hole and a form is three times the material thickness plus the form radius. The minimum distance from a semi-pierced hole and a bend is two times the material thickness plus the bend radius. The minimum distance between semi-pierced holes is eight times the material thickness.
52,624ced3a_p4_b3_w0,4,0.312,Slots
53,624ced3a_p4_b4_w0,4,0.495,"The minimum width of a slot is equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater. The minimum distance from the inside surface of a bend to the edge of a slot is directly proportional to the length of the slot, material thickness, and radius of the bend. When using slots and tabs the maximum width of the slot must be greater than the thickness of the tab and the tab length should equal the material thickness."
54,624ced3a_p4_b6_w0,4,0.574,"The minimum width is equal to two times the material thickness or 3.200 mm, whichever is greater, while the maximum length is five times the width. The minimum distance between tabs is equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater."
55,624ced3a_p4_b8_w0,4,0.381,Spot welding should be restricted to joining coplanar surfaces. The minimum distance between welds is 10 times the material thickness. Using 20 times the material thickness is ideal.
56,624ced3a_p4_b8_w1,4,0.525,The minimum distance between welds is 10 times the material thickness. Using 20 times the material thickness is ideal. The minimum distance between a weld and the edge is two times the diameter of the spot weld.
57,624ced3a_p4_b8_w2,4,0.558,Using 20 times the material thickness is ideal. The minimum distance between a weld and the edge is two times the diameter of the spot weld. The minimum distance from a weld to a form is the spot diameter plus the bend radius.
58,624ced3a_p4_b8_w3,4,0.458,The minimum distance between a weld and the edge is two times the diameter of the spot weld. The minimum distance from a weld to a form is the spot diameter plus the bend radius. Use PEMs instead of threaded inserts.
59,624ced3a_p4_b9_w0,4,0.282,Plating
60,624ced3a_p4_b10_w0,4,0.364,"Outside sharp corners receive twice as much plating as flat surfaces. Allow for pitch diameters for screw threads, which can increase four times the plating thickness. Tapped holes may need to be re-tapped after plating to ensure accuracy."
61,624ced3a_p4_b10_w1,4,0.352,"Allow for pitch diameters for screw threads, which can increase four times the plating thickness. Tapped holes may need to be re-tapped after plating to ensure accuracy. Projections accumulate more plating than other areas."
62,624ced3a_p4_b10_w2,4,0.382,"Tapped holes may need to be re-tapped after plating to ensure accuracy. Projections accumulate more plating than other areas. Recessed areas may be difficult to plate, resulting in little or no coverage."
63,624ced3a_p4_b10_w3,4,0.303,"Projections accumulate more plating than other areas. Recessed areas may be difficult to plate, resulting in little or no coverage. Lap-welded joints trap plating solutions."
64,624ced3a_p4_b10_w4,4,0.357,"Recessed areas may be difficult to plate, resulting in little or no coverage. Lap-welded joints trap plating solutions. One solution is to raise welds on embossed areas by 0.015 in."
65,624ced3a_p4_b10_w6,4,0.341,One solution is to raise welds on embossed areas by 0.015 in. (0.3 mm) to allow for flushing and blow drying between the surfaces. Masking of stampings and fabrications to anodize certain areas is not recommended.
66,624ced3a_p4_b10_w7,4,0.471,(0.3 mm) to allow for flushing and blow drying between the surfaces. Masking of stampings and fabrications to anodize certain areas is not recommended. Design drain holes/vent holes for plating solutions and rinsing.
67,624ced3a_p4_b10_w8,4,0.389,Masking of stampings and fabrications to anodize certain areas is not recommended. Design drain holes/vent holes for plating solutions and rinsing. Design tabs/holes for attachment to part racks.
68,624ced3a_p4_b13_w0,4,0.320,Design for Manufacturability and Assembly (https://www.npd-solutions.com/dfm.html)
69,624ced3a_p4_b14_w0,4,0.324,Design for Manufacturability / Assembly Guidelines (https://www.npd-solutions.com/dfmguidelines.html)
70,624ced3a_p4_b15_w0,4,0.287,Design for Manufacturability/Assembly Workshop (https://www.npd-solutions.com/featuredworkshops/dfmws)
71,624ced3a_p5_b0_w0,5,0.386,"3/22/22, 4:08 PM Design For Manufacturability Guidelines - Sheetmetal"
72,624ced3a_p5_b1_w0,5,0.343,www.npd-solutions.com/sheetmetal.html 5/5
