,Window ID,Page,Section,Text Content
14,624ced3a_p1_b11_w0,1,Root,The minimum radius is two times the material thickness with an opening to a minimum of one material thickness. The minimum distance between a curl and the edge of a hole is the radius of the curl plus the material thickness. The minimum distance a curl should be from an internal bend is six times the material thickness plus the radius of the curl.
15,624ced3a_p1_b11_w1,1,Root,The minimum distance between a curl and the edge of a hole is the radius of the curl plus the material thickness. The minimum distance a curl should be from an internal bend is six times the material thickness plus the radius of the curl. The minimum distance a curl should be from an external bend is nine times the material thickness plus the radius of the curl.
16,624ced3a_p1_b12_w0,1,Root,Dimples
17,624ced3a_p1_b13_w0,1,Root,"The maximum diameter should be six times the material thickness, and a maximum depth of one-half the inside diameter. The minimum distance that a dimple should be from a hole is three times the material thickness plus the radius of the dimple. The minimum distance that a dimple should be from the edge is four times the material thickness plus the inside radius of the dimple."
18,624ced3a_p1_b15_w0,1,Root,Privacy  -  Terms
19,624ced3a_p2_b0_w0,2,Root,"3/22/22, 4:08 PM Design For Manufacturability Guidelines - Sheetmetal"
20,624ced3a_p2_b1_w0,2,Root,www.npd-solutions.com/sheetmetal.html 2/5
21,624ced3a_p2_b2_w0,2,Root,The minimum distance that a dimple should be from a bend is two times the material thickness plus the inside radius of the dimple plus the radius of the bend. The minimum distance between one dimple and another is four times the material thickness plus the inside radius of each dimple.
22,624ced3a_p2_b3_w0,2,Root,Embossments
23,624ced3a_p2_b4_w0,2,Root,The maximum depth is proportional to the internal radius or material thickness. The maximum depth for a flat embossment is equal to the internal radius plus the external radius. The maximum depth for a V embossment is equal to three times the material thickness.
24,624ced3a_p2_b6_w0,2,Root,The minimum distance between two extruded holes is six times the material thickness. The minimum distance from an extruded hole to an edge is three times the material thickness. The minimum distance from an extruded hole to a bend is three times the material thickness plus the bend radius.
25,624ced3a_p2_b7_w0,2,Root,Flanges
26,624ced3a_p2_b8_w0,2,Root,"The minimum height of a bent flange is directly related to the material thickness, bend radius, and length of bend. The minimum width of a bend relief is one material thickness or 1.50 mm (0.06 inch), whichever is greater."
27,624ced3a_p2_b9_w0,2,Root,Gussets
28,624ced3a_p2_b10_w0,2,Root,"The width and depth, recommended at an angle of 45 degrees, is directly proportional to the radius and material thickness. The minimum distance that a gusset should be from the edge of a hole in a parallel plane is eight times the material thickness plus the radius of the gusset."
29,624ced3a_p2_b11_w0,2,Root,Hems
30,624ced3a_p2_b12_w0,2,Root,"The minimum diameter of a teardrop hem is equal to the material thickness, with a return flange height equal to or greater than four times the material thickness, and a minimum opening of 1/4 of the material thickness. The minimum diameter of an open hem is equal to the material thickness with a return flange height equal to or greater than four times the material thickness. The minimum return flange height of a closed hem is equal to or greater than four times the material thickness (the diameter is zero)."
31,624ced3a_p2_b12_w1,2,Root,The minimum diameter of an open hem is equal to the material thickness with a return flange height equal to or greater than four times the material thickness. The minimum return flange height of a closed hem is equal to or greater than four times the material thickness (the diameter is zero). NOTE:
32,624ced3a_p2_b12_w2,2,Root,The minimum return flange height of a closed hem is equal to or greater than four times the material thickness (the diameter is zero). NOTE: Closed hems tend to fracture at the bend and cause entrapment of solutions during the finishing process.
33,624ced3a_p2_b12_w3,2,Root,NOTE: Closed hems tend to fracture at the bend and cause entrapment of solutions during the finishing process. The minimum distance from a hole to a hem is two times the material thickness plus the radius of the hem.
34,624ced3a_p2_b12_w4,2,Root,Closed hems tend to fracture at the bend and cause entrapment of solutions during the finishing process. The minimum distance from a hole to a hem is two times the material thickness plus the radius of the hem. The minimum distance a hem should be from an internal bend is five times the material thickness.
35,624ced3a_p2_b12_w5,2,Root,The minimum distance from a hole to a hem is two times the material thickness plus the radius of the hem. The minimum distance a hem should be from an internal bend is five times the material thickness. The minimum distance a hem should be from an external bend is eight times the material thickness.
36,624ced3a_p2_b13_w0,2,Root,Holes
37,624ced3a_p2_b14_w0,2,Root,"The minimum diameter of a hole should be equal to the materials thickness or 1.00 mm (0.04 inch), whichever is greater. The minimum distance between holes is directly proportional to the size and shape for the hole feature and the material thickness The minimum distance the edge of a hole should be from a form is three times the material thickness plus the bend radius."
38,624ced3a_p2_b16_w0,2,Root,Privacy  -  Terms
39,624ced3a_p3_b0_w0,3,Root,"3/22/22, 4:08 PM Design For Manufacturability Guidelines - Sheetmetal"
40,624ced3a_p3_b1_w0,3,Root,www.npd-solutions.com/sheetmetal.html 3/5
41,624ced3a_p3_b2_w0,3,Root,"The minimum distance the edge of a hole should be from a bend is two times the material thickness plus the bend radius. The minimum distance between a hole and the edge of the material is directly proportional to the size and shape of the hole and the material thickness. The minimum distance between the leading edge of a hole through a bend should be equal to the thickness of material plus the bend radius or two times the material thickness, whichever is greater."
42,624ced3a_p3_b3_w0,3,Root,Lances
43,624ced3a_p3_b4_w0,3,Root,"The minimum width of an  open  lance is two times the material thickness or 3.00 mm (0.125 inch), whichever is greater, with a maximum length of five times the width. The minimum width of a  closed  lance is two times the material thickness or 1.60 mm (0.06 inch), whichever is greater, and a maximum height of five times the material thickness at a 45-degree angle. The minimum distance from a lance to a bend in a parallel plane is eight times the material thickness plus the radius of the bend."
44,624ced3a_p3_b4_w1,3,Root,"The minimum width of a  closed  lance is two times the material thickness or 1.60 mm (0.06 inch), whichever is greater, and a maximum height of five times the material thickness at a 45-degree angle. The minimum distance from a lance to a bend in a parallel plane is eight times the material thickness plus the radius of the bend. The minimum distance from a lance to a bend in a perpendicular plane is ten times the material thickness plus the radius of the bend."
45,624ced3a_p3_b4_w2,3,Root,The minimum distance from a lance to a bend in a parallel plane is eight times the material thickness plus the radius of the bend. The minimum distance from a lance to a bend in a perpendicular plane is ten times the material thickness plus the radius of the bend. The minimum distance from a lance to a hole is three times the material thickness.
46,624ced3a_p3_b5_w0,3,Root,Notches
47,624ced3a_p3_b6_w0,3,Root,"The minimum width is equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater. The maximum length for a straight/radius end notch is equal to five times the width. The maximum length for a V notch is equal to two times the width."
48,624ced3a_p3_b6_w1,3,Root,The maximum length for a straight/radius end notch is equal to five times the width. The maximum length for a V notch is equal to two times the width. The minimum distance between a hole and the edge of a notch is directly proportional to the size/shape of the hole and the material thickness.
49,624ced3a_p3_b6_w2,3,Root,The maximum length for a V notch is equal to two times the width. The minimum distance between a hole and the edge of a notch is directly proportional to the size/shape of the hole and the material thickness. The minimum distance from a notch to a bend in a parallel plane is eight times the material thickness plus the radius of the bend.
50,624ced3a_p3_b6_w3,3,Root,The minimum distance between a hole and the edge of a notch is directly proportional to the size/shape of the hole and the material thickness. The minimum distance from a notch to a bend in a parallel plane is eight times the material thickness plus the radius of the bend. The minimum distance from a notch to a bend in a perpendicular plane is three times the material thickness plus the radius of the bend.
51,624ced3a_p3_b6_w4,3,Root,"The minimum distance from a notch to a bend in a parallel plane is eight times the material thickness plus the radius of the bend. The minimum distance from a notch to a bend in a perpendicular plane is three times the material thickness plus the radius of the bend. The minimum distance beyond the bend on the side edge is equal to the thickness of the material plus the bend radius, or two times the material thickness, whichever is greater."
52,624ced3a_p3_b6_w5,3,Root,"The minimum distance from a notch to a bend in a perpendicular plane is three times the material thickness plus the radius of the bend. The minimum distance beyond the bend on the side edge is equal to the thickness of the material plus the bend radius, or two times the material thickness, whichever is greater. The minimum distance between two notches is two times the material thickness or 3.200 mm (0.125 inch), whichever is greater."
53,624ced3a_p3_b7_w0,3,Root,Ribs
54,624ced3a_p3_b8_w0,3,Root,"The maximum inside radius is equal to three times the material thickness, with a maximum depth of the inside radius. The minimum distance from a center line of a rib to the edge of a hole is three times the material thickness plus the radius of the rib. The minimum distance a rib should be from an edge in a perpendicular plane is four times the material thickness plus the radius of the rib."
55,624ced3a_p3_b8_w1,3,Root,The minimum distance from a center line of a rib to the edge of a hole is three times the material thickness plus the radius of the rib. The minimum distance a rib should be from an edge in a perpendicular plane is four times the material thickness plus the radius of the rib. The minimum distance a rib should be from an edge in a parallel plane is eight times the material thickness plus the radius of the rib.
56,624ced3a_p3_b8_w2,3,Root,"The minimum distance a rib should be from an edge in a perpendicular plane is four times the material thickness plus the radius of the rib. The minimum distance a rib should be from an edge in a parallel plane is eight times the material thickness plus the radius of the rib. The minimum distance a rib should be from a bend perpendicular to the rib is two times the material thickness, plus the radius of the rib, plus the radius of the bend."
57,624ced3a_p3_b8_w3,3,Root,"The minimum distance a rib should be from an edge in a parallel plane is eight times the material thickness plus the radius of the rib. The minimum distance a rib should be from a bend perpendicular to the rib is two times the material thickness, plus the radius of the rib, plus the radius of the bend. The minimum distance between two parallel ribs is ten times the material thickness plus the radii of the ribs."
58,624ced3a_p3_b9_w0,3,Root,Semi-Pierced Hole
59,624ced3a_p3_b11_w0,3,Root,Privacy  -  Terms
60,624ced3a_p4_b0_w0,4,Root,"3/22/22, 4:08 PM Design For Manufacturability Guidelines - Sheetmetal"
61,624ced3a_p4_b1_w0,4,Root,www.npd-solutions.com/sheetmetal.html 4/5
62,624ced3a_p4_b2_w0,4,Root,The minimum distance from a semi-pierced hole and a form is three times the material thickness plus the form radius. The minimum distance from a semi-pierced hole and a bend is two times the material thickness plus the bend radius. The minimum distance between semi-pierced holes is eight times the material thickness.
63,624ced3a_p4_b3_w0,4,Root,Slots
64,624ced3a_p4_b4_w0,4,Root,"The minimum width of a slot is equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater. The minimum distance from the inside surface of a bend to the edge of a slot is directly proportional to the length of the slot, material thickness, and radius of the bend. When using slots and tabs the maximum width of the slot must be greater than the thickness of the tab and the tab length should equal the material thickness."
65,624ced3a_p4_b5_w0,4,Root,Tabs
66,624ced3a_p4_b6_w0,4,Root,"The minimum width is equal to two times the material thickness or 3.200 mm, whichever is greater, while the maximum length is five times the width. The minimum distance between tabs is equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater."
67,624ced3a_p4_b7_w0,4,Root,Welding
68,624ced3a_p4_b8_w0,4,Root,Spot welding should be restricted to joining coplanar surfaces. The minimum distance between welds is 10 times the material thickness. Using 20 times the material thickness is ideal.
69,624ced3a_p4_b8_w1,4,Root,The minimum distance between welds is 10 times the material thickness. Using 20 times the material thickness is ideal. The minimum distance between a weld and the edge is two times the diameter of the spot weld.
70,624ced3a_p4_b8_w2,4,Root,Using 20 times the material thickness is ideal. The minimum distance between a weld and the edge is two times the diameter of the spot weld. The minimum distance from a weld to a form is the spot diameter plus the bend radius.
71,624ced3a_p4_b8_w3,4,Root,The minimum distance between a weld and the edge is two times the diameter of the spot weld. The minimum distance from a weld to a form is the spot diameter plus the bend radius. Use PEMs instead of threaded inserts.
72,624ced3a_p4_b9_w0,4,Root,Plating
73,624ced3a_p4_b10_w0,4,Root,"Outside sharp corners receive twice as much plating as flat surfaces. Allow for pitch diameters for screw threads, which can increase four times the plating thickness. Tapped holes may need to be re-tapped after plating to ensure accuracy."
74,624ced3a_p4_b10_w1,4,Root,"Allow for pitch diameters for screw threads, which can increase four times the plating thickness. Tapped holes may need to be re-tapped after plating to ensure accuracy. Projections accumulate more plating than other areas."
75,624ced3a_p4_b10_w2,4,Root,"Tapped holes may need to be re-tapped after plating to ensure accuracy. Projections accumulate more plating than other areas. Recessed areas may be difficult to plate, resulting in little or no coverage."
76,624ced3a_p4_b10_w3,4,Root,"Projections accumulate more plating than other areas. Recessed areas may be difficult to plate, resulting in little or no coverage. Lap-welded joints trap plating solutions."
77,624ced3a_p4_b10_w4,4,Root,"Recessed areas may be difficult to plate, resulting in little or no coverage. Lap-welded joints trap plating solutions. One solution is to raise welds on embossed areas by 0.015 in."
78,624ced3a_p4_b10_w5,4,Root,Lap-welded joints trap plating solutions. One solution is to raise welds on embossed areas by 0.015 in. (0.3 mm) to allow for flushing and blow drying between the surfaces.
79,624ced3a_p4_b10_w6,4,Root,One solution is to raise welds on embossed areas by 0.015 in. (0.3 mm) to allow for flushing and blow drying between the surfaces. Masking of stampings and fabrications to anodize certain areas is not recommended.
80,624ced3a_p4_b10_w7,4,Root,(0.3 mm) to allow for flushing and blow drying between the surfaces. Masking of stampings and fabrications to anodize certain areas is not recommended. Design drain holes/vent holes for plating solutions and rinsing.
81,624ced3a_p4_b10_w8,4,Root,Masking of stampings and fabrications to anodize certain areas is not recommended. Design drain holes/vent holes for plating solutions and rinsing. Design tabs/holes for attachment to part racks.
82,624ced3a_p4_b11_w0,4,Root,Related Links
83,624ced3a_p4_b12_w0,4,Root,Product Development forum (https://www.npd-solutions.com/pdforum.html)
84,624ced3a_p4_b13_w0,4,Root,Design for Manufacturability and Assembly (https://www.npd-solutions.com/dfm.html)
85,624ced3a_p4_b14_w0,4,Root,Design for Manufacturability / Assembly Guidelines (https://www.npd-solutions.com/dfmguidelines.html)
86,624ced3a_p4_b15_w0,4,Root,Design for Manufacturability/Assembly Workshop (https://www.npd-solutions.com/featuredworkshops/dfmws)
87,624ced3a_p4_b17_w0,4,Root,Privacy  -  Terms
88,624ced3a_p5_b0_w0,5,Root,"3/22/22, 4:08 PM Design For Manufacturability Guidelines - Sheetmetal"
89,624ced3a_p5_b1_w0,5,Root,www.npd-solutions.com/sheetmetal.html 5/5
90,624ced3a_p5_b2_w0,5,Root,© 2019 DRM Associates | All Rights Reserved
91,624ced3a_p5_b3_w0,5,Root,Contact Us (http://www.npd-solutions.com/contact-us.html) | Sitemap (http://www.npd-solutions.com/site-map.html)
92,624ced3a_p5_b4_w0,5,Root,"  (https://www.facebook.com/DRMAssociates1/)
   (https://www.linkedin.com/company/drm-associates)"
93,624ced3a_p5_b6_w0,5,Root,Privacy  -  Terms
