Final Rule Text,Source Window IDs
The minimum distance from a lance to a hole is three times the material thickness.,"d95082b7_p3_b4_w0, d95082b7_p3_b4_w1, d95082b7_p3_b4_w2"
"The minimum width of a notch is equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater.","d95082b7_p3_b6_w0, d95082b7_p3_b6_w1, d95082b7_p3_b6_w2, d95082b7_p3_b6_w3, d95082b7_p3_b6_w4, d95082b7_p3_b6_w5"
The maximum length of a straight/radius end notch is equal to five times the width.,"d95082b7_p3_b6_w0, d95082b7_p3_b6_w1, d95082b7_p3_b6_w2, d95082b7_p3_b6_w3, d95082b7_p3_b6_w4, d95082b7_p3_b6_w5"
The maximum length of a V notch is equal to two times the width.,"d95082b7_p3_b6_w0, d95082b7_p3_b6_w1, d95082b7_p3_b6_w2, d95082b7_p3_b6_w3, d95082b7_p3_b6_w4, d95082b7_p3_b6_w5"
The minimum distance between a hole and the edge of a notch is directly proportional to the size/shape of the hole and the material thickness.,"d95082b7_p3_b6_w0, d95082b7_p3_b6_w1, d95082b7_p3_b6_w2, d95082b7_p3_b6_w3, d95082b7_p3_b6_w4, d95082b7_p3_b6_w5"
The minimum distance from a notch to a bend in a parallel plane is eight times the material thickness plus the radius of the bend.,"d95082b7_p3_b6_w0, d95082b7_p3_b6_w1, d95082b7_p3_b6_w2, d95082b7_p3_b6_w3, d95082b7_p3_b6_w4, d95082b7_p3_b6_w5"
The minimum distance from a notch to a bend in a perpendicular plane is three times the material thickness plus the radius of the bend.,"d95082b7_p3_b6_w0, d95082b7_p3_b6_w1, d95082b7_p3_b6_w2, d95082b7_p3_b6_w3, d95082b7_p3_b6_w4, d95082b7_p3_b6_w5"
"The minimum distance beyond the bend on the side edge of a notch is equal to the thickness of the material plus the bend radius, or two times the material thickness, whichever is greater.","d95082b7_p3_b6_w0, d95082b7_p3_b6_w1, d95082b7_p3_b6_w2, d95082b7_p3_b6_w3, d95082b7_p3_b6_w4, d95082b7_p3_b6_w5"
"The minimum distance between two notches is two times the material thickness or 3.200 mm (0.125 inch), whichever is greater.","d95082b7_p3_b6_w0, d95082b7_p3_b6_w1, d95082b7_p3_b6_w2, d95082b7_p3_b6_w3, d95082b7_p3_b6_w4, d95082b7_p3_b6_w5"
The minimum distance from a semi-pierced hole and a form is three times the material thickness plus the form radius.,d95082b7_p4_b2_w0
The minimum distance from a semi-pierced hole and a bend is two times the material thickness plus the bend radius.,d95082b7_p4_b2_w0
The minimum distance between semi-pierced holes is eight times the material thickness.,d95082b7_p4_b2_w0
"The minimum width of a slot is equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater.",d95082b7_p4_b4_w0
"The minimum distance from the inside surface of a bend to the edge of a slot is directly proportional to the length of the slot, material thickness, and radius of the bend.",d95082b7_p4_b4_w0
The maximum width of the slot must be greater than the thickness of the tab.,d95082b7_p4_b4_w0
The tab length should equal the material thickness.,d95082b7_p4_b4_w0
"The minimum width of a tab is equal to two times the material thickness or 3.200 mm, whichever is greater.",d95082b7_p4_b6_w0
The maximum length of a tab is five times the width.,d95082b7_p4_b6_w0
"The minimum distance between tabs is equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater.",d95082b7_p4_b6_w0
Spot welding should be restricted to joining coplanar surfaces.,"d95082b7_p4_b8_w0, d95082b7_p4_b8_w1, d95082b7_p4_b8_w2, d95082b7_p4_b8_w3"
The minimum distance between welds is 10 times the material thickness.,"d95082b7_p4_b8_w0, d95082b7_p4_b8_w1, d95082b7_p4_b8_w2, d95082b7_p4_b8_w3"
The minimum distance between a weld and the edge is two times the diameter of the spot weld.,"d95082b7_p4_b8_w0, d95082b7_p4_b8_w1, d95082b7_p4_b8_w2, d95082b7_p4_b8_w3"
The minimum distance from a weld to a form is the spot diameter plus the bend radius.,"d95082b7_p4_b8_w0, d95082b7_p4_b8_w1, d95082b7_p4_b8_w2, d95082b7_p4_b8_w3"
Use PEMs instead of threaded inserts.,"d95082b7_p4_b8_w0, d95082b7_p4_b8_w1, d95082b7_p4_b8_w2, d95082b7_p4_b8_w3"
